Antarctic Sea-ice volume during 1992-2017													
													
Year	Month		Antarctica	         Weddell Sea	        India Ocean	Western Pacifia Ocean         Ross Sea	         B&A Seas
													
													Unit: 10^3KM^3
													
1992	1 ERS1	                9.39 		4.53 		0.56 		1.12 		1.85 		0.91 
	2		5.63 		2.99 		0.26 		0.83 		0.89 		0.44 
	3		6.61 		3.70 		0.24 		0.78 		1.13 		0.51 
	4		13.02 		6.02 		1.00 		1.22 		3.44 		1.23 
	5		18.44 		7.56 		2.00 		1.91 		4.99 		1.75 
	6		23.38 		10.06 		2.95 		2.36 		5.28 		2.51 
	7		29.36 		12.25 		4.45 		2.71 		6.21 		2.99 
	8		32.74 		12.69 		5.58 		3.20 		7.13 		3.11 
	9		32.28 		12.02 		6.49 		2.94 		6.85 		3.50 
	10		32.05 		11.82 		6.54 		2.72 		7.35 		3.21 
	11		25.23 		9.05 		4.86 		1.99 		6.04 		2.83 
	12		14.12 		5.35 		1.89 		1.16 		4.14 		1.69 
1993	1		6.69 		2.53 		0.67 		0.73 		1.55 		1.20 
	2		2.97 		1.43 		0.26 		0.42 		0.42 		0.51 
	3		5.34 		2.16 		0.35 		0.49 		1.62 		0.64 
	4		11.77 		4.68 		1.13 		0.99 		3.54 		1.43 
	5		18.55 		7.00 		2.52 		1.81 		4.86 		2.36 
	6		23.86 		8.57 		4.12 		2.81 		5.43 		2.83 
	7		30.21 		11.63 		5.43 		2.92 		6.72 		3.23 
	8		31.61 		11.37 		6.54 		3.27 		6.71 		3.41 
	9		31.11 		11.29 		6.17 		3.24 		6.49 		3.62 
	10		29.69 		10.08 		6.05 		3.30 		6.26 		3.53 
	11		25.07 		9.38 		4.65 		2.21 		5.69 		2.92 
	12		14.03 		5.85 		1.50 		1.39 		3.38 		1.94 
1994	1		7.45 		3.38 		0.59 		1.00 		1.32 		1.21 
	2		5.13 		2.55 		0.34 		0.75 		0.68 		0.78 
	3		7.32 		3.34 		0.28 		0.86 		1.94 		0.86 
	4		12.70 		5.35 		0.82 		1.55 		3.85 		0.96 
	5		18.97 		7.44 		2.04 		2.34 		5.35 		1.60 
	6		23.37 		9.17 		2.80 		2.50 		6.03 		2.75 
	7		27.47 		10.29 		4.10 		2.88 		6.36 		3.52 
	8		30.32 		10.86 		5.14 		3.33 		6.96 		3.66 
	9		31.02 		10.71 		5.96 		3.47 		6.77 		3.86 
	10		30.36 		11.22 		5.83 		2.73 		6.28 		3.98 
	11		25.70 		10.43 		3.95 		2.29 		5.99 		2.89 
	12		15.84 		6.63 		1.53 		1.59 		4.02 		2.04 
1995	1		8.29 		3.74 		0.62 		1.24 		1.67 		1.15 
	2		4.89 		2.30 		0.35 		0.89 		0.97 		0.46 
	3		6.90 		2.74 		0.51 		0.89 		1.87 		0.81 
	4		12.73 		4.87 		1.13 		1.36 		3.72 		1.62 
	5		18.49 		7.12 		2.18 		2.04 		4.96 		2.10 
	6		22.01 		7.95 		3.69 		2.23 		5.48 		2.63 
	7		26.82 		10.21 		4.29 		2.60 		6.06 		3.52 
	8		30.36 		11.10 		5.67 		2.84 		6.85 		3.60 
	9		29.67 		10.44 		5.87 		3.08 		6.26 		3.52 
	10		29.86 		10.96 		5.47 		2.97 		7.12 		3.20 
	11		25.36 		9.77 		3.74 		2.09 		6.91 		2.83 
	12		16.30 		6.20 		1.39 		1.44 		5.36 		1.86 
1996	1 ERS2	                8.11 		3.14 		0.50 		1.06 		2.14 		1.17 
	2		4.25 		1.82 		0.18 		0.79 		0.74 		0.73 
	3		6.26 		2.13 		0.30 		0.79 		2.19 		0.86 
	4		12.25 		4.10 		1.12 		1.20 		4.60 		1.17 
	5		18.35 		6.40 		2.36 		1.94 		5.63 		1.87 
	6		22.75 		8.37 		3.06 		2.66 		5.74 		2.84 
	7		26.53 		9.20 		4.09 		2.72 		7.17 		3.12 
	8		29.04 		10.11 		4.95 		3.01 		7.02 		3.66 
	9		30.87 		10.61 		5.12 		3.23 		7.88 		3.78 
	10		30.30 		9.96 		4.95 		3.20 		7.98 		3.87 
	11		23.84 		8.17 		3.49 		2.01 		6.87 		3.26 
	12		13.88 		5.07 		1.36 		1.38 		4.21 		1.87 
1997	1		6.52 		2.82 		0.51 		1.06 		1.27 		0.85 
	2		4.05 		2.26 		0.19 		0.71 		0.50 		0.33 
	3		5.44 		2.77 		0.29 		0.73 		1.28 		0.38 
	4		11.00 		3.84 		0.98 		1.31 		3.48 		1.46 
	5		16.89 		5.93 		1.97 		2.10 		5.04 		1.95 
	6		21.59 		7.95 		2.95 		2.21 		5.90 		2.35 
	7		26.58 		9.36 		4.12 		2.87 		6.66 		3.32 
	8		29.24 		10.38 		5.00 		3.25 		6.52 		3.87 
	9		30.89 		10.47 		5.80 		3.22 		7.16 		3.91 
	10		30.84 		11.22 		5.63 		3.07 		7.56 		2.60 
	11		24.97 		9.89 		4.18 		1.98 		6.16 		2.27 
	12		15.93 		6.92 		1.38 		1.43 		4.38 		1.86 
1998	1		7.17 		2.77 		0.41 		1.08 		1.91 		1.21 
	2		4.60 		1.55 		0.21 		0.63 		1.39 		0.79 
	3		6.80 		2.10 		0.42 		0.77 		2.61 		0.89 
	4		11.90 		3.99 		1.14 		1.39 		4.05 		1.33 
	5		17.15 		6.28 		2.46 		1.79 		5.10 		1.58 
	6		22.34 		8.23 		3.34 		2.20 		6.47 		1.71 
	7		26.32 		9.01 		4.42 		3.04 		7.02 		2.70 
	8		29.28 		9.53 		5.38 		3.23 		7.87 		3.06 
	9		30.93 		10.27 		5.53 		3.26 		8.08 		3.47 
	10		31.00 		10.06 		6.21 		3.20 		8.31 		2.94 
	11		25.37 		8.21 		4.79 		2.00 		7.47 		2.73 
	12		14.94 		4.42 		1.90 		1.32 		5.53 		1.91 
1999	1		7.34 		2.22 		0.59 		1.04 		2.62 		0.91 
	2		4.16 		1.50 		0.26 		0.72 		1.18 		0.48 
	3		6.04 		1.78 		0.39 		0.82 		2.46 		0.57 
	4		11.69 		3.10 		1.31 		1.52 		4.51 		1.27 
	5		17.62 		5.20 		2.38 		2.19 		5.70 		2.16 
	6		22.90 		7.29 		3.26 		2.65 		6.71 		2.90 
	7		26.71 		8.75 		4.83 		3.25 		6.96 		2.90 
	8		29.55 		9.54 		5.83 		3.35 		7.03 		3.75 
	9		31.00 		10.59 		5.95 		3.34 		7.36 		3.47 
	10		30.43 		9.45 		6.17 		3.09 		8.26 		3.12 
	11		25.50 		8.89 		4.58 		1.91 		7.42 		2.62 
	12		15.27 		4.96 		2.11 		0.87 		4.96 		2.34 
2000	1		6.87 		2.33 		0.75 		0.43 		1.81 		1.56 
	2		4.08 		1.93 		0.39 		0.34 		0.71 		0.68 
	3		6.23 		2.73 		0.62 		0.58 		1.64 		0.67 
	4		12.03 		3.92 		1.23 		1.35 		3.83 		1.61 
	5		18.43 		5.90 		2.58 		2.24 		5.35 		2.28 
	6		23.22 		7.72 		3.35 		2.88 		6.30 		2.74 
	7		27.81 		9.36 		4.24 		2.93 		7.38 		2.91 
	8		30.34 		9.67 		5.56 		3.21 		7.68 		3.63 
	9		31.57 		10.35 		5.96 		2.64 		7.90 		3.85 
	10		30.12 		10.09 		5.65 		2.93 		7.20 		3.53 
	11		25.01 		8.93 		4.39 		1.93 		6.51 		2.87 
	12		15.10 		6.03 		1.53 		1.29 		3.93 		2.26 
2001	1		8.39 		3.30 		0.55 		1.13 		1.95 		1.42 
	2		5.79 		2.38 		0.24 		0.84 		1.41 		0.89 
	3		7.95 		3.16 		0.28 		0.86 		2.75 		0.88 
	4		11.94 		4.83 		1.03 		1.22 		3.62 		1.20 
	5		17.57 		6.49 		2.13 		1.76 		5.49 		1.50 
	6		22.34 		7.88 		3.47 		2.29 		6.25 		2.31 
	7		26.46 		9.23 		4.70 		2.64 		6.70 		2.92 
	8		28.29 		9.73 		5.48 		3.06 		6.65 		3.29 
	9		29.37 		9.90 		5.86 		3.15 		6.68 		3.68 
	10		27.25 		9.48 		5.39 		2.82 		6.21 		3.20 
	11		22.92 		7.73 		4.37 		1.93 		5.69 		3.07 
	12		13.83 		4.63 		1.95 		0.96 		4.32 		1.98 
2002	1		6.79 		2.80 		0.66 		0.40 		1.90 		1.07 
	2		4.38 		2.37 		0.40 		0.17 		0.84 		0.60 
	3		5.48 		2.53 		0.46 		0.18 		1.58 		0.68 
	4		10.45 		3.93 		1.09 		0.77 		3.37 		1.28 
	5		15.43 		5.41 		1.89 		1.65 		4.75 		1.67 
	6		20.92 		7.56 		2.85 		2.06 		5.38 		2.95 
	7		25.85 		9.22 		4.26 		2.28 		6.23 		3.59 
	8		27.70 		9.55 		5.11 		2.63 		6.75 		3.32 
	9		29.33 		10.19 		5.89 		2.87 		6.92 		2.68 
	10		29.11 		10.36 		5.64 		2.98 		6.61 		2.84 
	11		25.30 		10.53 		3.64 		2.07 		5.78 		2.78 
	12		16.83 		8.17 		1.43 		1.37 		4.10 		1.63 
2003	1   ENVISAT	10.47 		5.14 		0.79 		1.16 		2.60 		0.91 
	2		8.01 		3.79 		0.27 		1.04 		1.86 		0.54 
	3		7.54 		3.76 		0.19 		0.91 		2.17 		0.52 
	4		11.87 		5.75 		0.52 		1.25 		3.70 		0.65 
	5		17.30 		7.48 		1.48 		1.70 		5.11 		1.65 
	6		22.12 		10.38 		2.01 		2.16 		5.81 		2.19 
	7		27.22 		11.31 		3.11 		2.64 		7.16 		3.11 
	8		28.99 		11.71 		3.98 		3.10 		7.07 		3.34 
	9		28.52 		11.78 		4.49 		2.93 		6.31 		3.46 
	10		26.97 		10.29 		4.28 		2.91 		5.82 		3.53 
	11		20.57 		7.53 		2.84 		2.03 		4.47 		2.93 
	12		14.14 		5.76 		1.58 		1.64 		3.29 		1.96 
2004	1		10.22 		4.54 		0.69 		1.37 		2.01 		1.42 
	2		7.07 		3.71 		0.21 		1.02 		1.43 		0.83 
	3		7.68 		4.10 		0.24 		0.89 		2.02 		0.83 
	4		11.87 		5.57 		0.82 		1.14 		3.25 		1.29 
	5		17.03 		7.08 		1.45 		1.55 		4.82 		2.01 
	6		22.87 		10.04 		2.60 		1.91 		5.64 		2.70 
	7		28.20 		11.83 		3.75 		2.50 		6.36 		3.53 
	8		30.28 		12.22 		4.77 		2.65 		6.43 		4.08 
	9		30.18 		11.16 		4.94 		2.80 		6.53 		4.46 
	10		27.27 		9.46 		4.32 		2.63 		6.28 		4.17 
	11		21.48 		7.74 		2.80 		1.91 		4.77 		3.02 
	12		13.56 		4.83 		1.51 		1.52 		3.03 		2.27 
2005	1		8.25 		3.38 		0.73 		1.26 		1.20 		1.70 
	2		6.21 		3.06 		0.45 		0.87 		0.74 		1.22 
	3		6.89 		3.20 		0.37 		0.90 		1.62 		1.27 
	4		11.11 		4.01 		0.67 		1.28 		3.76 		1.64 
	5		16.28 		6.16 		1.56 		1.78 		4.46 		2.34 
	6		21.97 		9.12 		2.06 		2.21 		5.06 		3.30 
	7		27.71 		11.27 		3.11 		2.78 		6.19 		3.64 
	8		29.81 		11.80 		4.08 		3.24 		6.32 		4.16 
	9		32.14 		12.37 		4.42 		3.32 		7.26 		3.51 
	10		29.43 		10.75 		4.15 		2.84 		6.80 		3.21 
	11		23.42 		8.22 		3.11 		1.97 		5.06 		2.73 
	12		13.68 		4.49 		1.40 		1.51 		3.10 		1.97 
2006	1		8.10 		2.87 		0.72 		1.40 		1.38 		1.56 
	2		5.79 		2.42 		0.21 		1.05 		0.62 		1.27 
	3		5.27 		2.23 		0.14 		0.82 		1.08 		1.02 
	4		8.85 		3.23 		0.60 		1.13 		3.04 		1.26 
	5		14.77 		5.60 		1.67 		1.50 		4.30 		1.95 
	6		22.24 		8.86 		2.73 		2.16 		5.28 		2.50 
	7		27.03 		10.38 		3.95 		2.64 		6.13 		3.31 
	8		31.68 		11.66 		4.58 		2.76 		7.75 		3.49 
	9		31.40 		11.15 		4.79 		3.17 		7.16 		3.91 
	10		28.75 		10.12 		4.56 		3.12 		6.79 		3.03 
	11		20.78 		6.56 		3.19 		2.00 		5.19 		2.37 
	12		12.80 		4.12 		1.70 		1.34 		3.23 		1.69 
2007	1		8.19 		2.88 		1.12 		0.94 		1.65 		1.28 
	2		5.91 		2.59 		0.57 		0.78 		0.87 		0.84 
	3		6.34 		3.14 		0.54 		0.71 		1.49 		0.70 
	4		9.81 		4.17 		0.83 		1.03 		2.98 		0.95 
	5		15.57 		6.37 		1.28 		1.47 		4.99 		1.14 
	6		22.00 		8.68 		2.17 		2.33 		6.47 		2.01 
	7		26.39 		11.14 		2.94 		2.44 		6.91 		2.63 
	8		29.08 		11.46 		3.68 		2.79 		7.64 		3.21 
	9		31.65 		12.22 		4.33 		2.95 		8.59 		2.93 
	10		26.66 		9.89 		4.00 		2.65 		7.65 		2.62 
